"rank"	"genomeid"	"class"	"superclade"	"lineage"	"GC"	"assembly_size"	"coding_density"	"N50"	"longest_contig"	"nContigs"	"isolation_source"	"completeness"	"contamination"	"quality_combined"	"Location"
1904	"Camelpox virus GVMAG-M-96 from Kazakhstan, AF438165 (Poxh)"	"Isolate"	"SC0"	"Poxviruses"	33.17	205719	87	205719	205719	1		"high"	"low"	"high"	"Other"
994	"Canarypox virus strain ATCC VR-111, AY318871 (Poxn)"	"Isolate"	"SC0"	"Poxviruses"	30.37	359853	89	359853	359853	1		"high"	"low"	"high"	"Other"
18	"Catovirus KY684083 (Cato)"	"pGVMAG"	"SC6"	"Klosneuviruses"	26.4	1532259	85	1152313	1152313	2		"high"	"low"	"high"	"Other"
217	"Cedratvirus A11 (CeA1)"	"Isolate"	"SC2"	"Pithocedratviruses"	41.49	589068	81	589068	589068	1		"high"	"low"	"high"	"Other"
237	"Cedratvirus lausannensis (CeLa)"	"Isolate"	"SC2"	"Pithocedratviruses"	42.78	575161	83	575161	575161	1		"high"	"low"	"high"	"Other"
252	"Cedratvirus Zaza IHUMI-S29 LT994652 (Zaza)"	"Isolate"	"SC2"	"Pithocedratviruses"	42.71	560887	84	560887	560887	1		"high"	"low"	"high"	"Other"
2134	"Cherax quadricarinatus iridovirus CQIV-CN01 MF197913 (Chqi)"	"Isolate"	"SC2"	"Ascoviruses"	34.58	165695	91	165695	165695	1		"high"	"low"	"high"	"Other"
2272	"Chinese giant salamander iridovirus CGSIV-HN1104 KF512820 (Chgi)"	"Isolate"	"SC2"	"Ascoviruses"	55.22	105375	78	105375	105375	1		"high"	"low"	"high"	"Other"
1289	"Choristoneura biennis entomopoxvirus 'L', HF679132 (Poxa)"	"Isolate"	"SC0"	"Poxviruses"	19.73	307691	86	307691	307691	1		"high"	"medium"	"medium"	"Other"
1429	"Choristoneura rosaceana entomopoxvirus 'L', HF679133 (Poxd)"	"Isolate"	"SC0"	"Poxviruses"	19.47	282895	88	282895	282895	1		"high"	"medium"	"medium"	"Other"
465	"Chrysochromulina ericina virus cev-01b NC028094 (Cher)"	"Isolate"	"SC9"	"Chrysomulinaviruses"	25.35	473558	91	473558	473558	1		"high"	"low"	"high"	"Other"
2043	"Cotia virus SPAn232, HQ647181 (Poae)"	"Isolate"	"SC0"	"Poxviruses"	23.59	185139	91	185139	185139	1		"high"	"low"	"high"	"Other"
1765	"Cowpox virus strain Brighton Red, AF482758 (Poxi)"	"Isolate"	"SC0"	"Poxviruses"	33.4	224499	90	224499	224499	1		"high"	"low"	"high"	"Other"
1322	"Dasosvirus (Daso)"	"pGVMAG"	"SC6"	"Klosneuviruses"	31.29	301586	86	35562	42802	24		"medium"	"low"	"medium"	"Harvard Forest FACs"
2109	"Deerpox virus W-1170-84 AY841896 (Devi)"	"Isolate"	"SC0"	"Poxviruses"	27.03	170560	91	170560	170560	1		"high"	"low"	"high"	"Other"
2130	"Deerpox virus W-848-83, AY689436 (Poxz)"	"Isolate"	"SC0"	"Poxviruses"	26.16	166259	94	166259	166259	1		"high"	"low"	"high"	"Other"
2255	"Diadromus pulchellus ascovirus 4a NC_011335 (Diad)"	"Isolate"	"SC2"	"Ascoviruses"	49.66	119343	94	119343	119343	1		"high"	"low"	"high"	"Other"
767	"E. huxleyi virus 201 JF974311 (Em25)"	"Isolate"	"SC3"	"Coccolithoviruses"	40.4	407301	91	407301	407301	1		"high"	"low"	"high"	"Other"
749	"E. huxleyi virus 208 JF974318 (Em26)"	"Isolate"	"SC3"	"Coccolithoviruses"	40.27	411003	90	411003	411003	1		"high"	"low"	"high"	"Other"
765	"E. huxleyi virus 86 NC007346 (Em27)"	"Isolate"	"SC3"	"Coccolithoviruses"	40.18	407339	90	407339	407339	1		"high"	"low"	"high"	"Other"
1131	"Ectocarpus siliculosus virus 1 NC002687 (Ecsi)"	"Isolate"	"SC3"	"Phaeoviruses"	51.73	335593	78	335593	335593	1		"medium"	"low"	"medium"	"Other"
1871	"Ectromelia virus strain Moscow, AF012825 (Poxo)"	"Isolate"	"SC0"	"Poxviruses"	33.18	209771	88	209771	209771	1		"high"	"low"	"high"	"Other"
35	"Edafosvirus (Edaf)"	"pGVMAG"	"SC6"	"Klosneuviruses"	27.6	1255552	87	35172	142812	66		"high"	"low"	"low"	"Harvard Forest FACs"
2083	"Eptesipox virus strain Washington, KY747497 (Poav)"	"Isolate"	"SC0"	"Poxviruses"	23.56	176688	95	176688	176688	1		"high"	"low"	"high"	"Other"
119	"Faunusvirus (Drel)"	"pGVMAG"	"SC6"	"Faunusviruses"	30.92	812113	87	18668	56462	67		"high"	"low"	"low"	"Harvard Forest FACs"
544	"Faustovirus D3 KU556803 (Fau1)"	"Isolate"	"SC1"	"Faustoviruses"	37.76	455803	89	455803	455803	1		"high"	"low"	"high"	"Other"
490	"Faustovirus D5A KU702950 (Fau2)"	"Isolate"	"SC1"	"Faustoviruses"	36.21	466051	86	466051	466051	1		"high"	"low"	"high"	"Other"
498	"Faustovirus D5B KU702949 (Fau3)"	"Isolate"	"SC1"	"Faustoviruses"	37.66	464523	89	464523	464523	1		"high"	"low"	"high"	"Other"
511	"Faustovirus D6 KU702951 (Fau4)"	"Isolate"	"SC1"	"Faustoviruses"	37.67	462011	89	462011	462011	1		"high"	"low"	"high"	"Other"
489	"Faustovirus E12 KJ614390 (Fau5)"	"Isolate"	"SC1"	"Faustoviruses"	36.22	466265	86	466265	466265	1		"high"	"low"	"high"	"Other"
492	"Faustovirus E23 KU702952 (Fau6)"	"Isolate"	"SC1"	"Faustoviruses"	36.22	465956	86	465956	465956	1		"high"	"low"	"high"	"Other"
491	"Faustovirus E24 KU702948 (Fe24)"	"Isolate"	"SC1"	"Faustoviruses"	36.22	466012	86	466012	466012	1		"high"	"low"	"high"	"Other"
475	"Faustovirus LC9 CZDJ02000001 (Flc9)"	"Isolate"	"SC1"	"Faustoviruses"	39.84	470227	88	166452	218722	5		"high"	"low"	"high"	"Other"
2004	"Feldmannia irregularis virus a (Feir)"	"Isolate"	"SC3"	"Phaeoviruses"	49.89	191407	80	48352	55981	16		"medium"	"low"	"medium"	"Other"
2173	"Feldmannia species virus NC011183 (Fesp)"	"Isolate"	"SC3"	"Phaeoviruses"	51.8	154641	85	154641	154641	1		"medium"	"low"	"medium"	"Other"
1372	"Flamingopox virus FGPVKD09, MF678796 (Poaz)"	"Isolate"	"SC0"	"Poxviruses"	29.46	293123	91	293123	293123	1		"high"	"low"	"high"	"Other"
1392	"Fowlpox virus, AF198100 (Poxg)"	"Isolate"	"SC0"	"Poxviruses"	30.89	288539	84	288539	288539	1		"high"	"low"	"high"	"Other"
273	"Gaeavirus (Gaea)"	"pGVMAG"	"SC6"	"Klosneuviruses"	32.3	549019	81	18526	58629	44		"medium"	"low"	"medium"	"Harvard Forest FACs"
2191	"Goatpox virus Pellor, AY077835 (Poxl)"	"Isolate"	"SC0"	"Poxviruses"	25.31	149599	93	149599	149599	1		"high"	"low"	"high"	"Other"
992	"Golden Marseillevirus NC_031465 (Gold)"	"Isolate"	"SC2"	"Marseilleviruses"	43.13	360610	89	360610	360610	1		"high"	"low"	"high"	"Other"
1518	"GVMAG-M-2140918012-1"	"GVMAG"	"SC2"	"MGVL20"	37.82	267319	90	32408	81714	12	"Freshwater"	"high"	"low"	"high"	"Other"
1216	"GVMAG-M-2140918012-2"	"GVMAG"	"SC9"	"MGVL44"	33.66	320558	86	10744	28972	34	"Freshwater"	"high"	"medium"	"medium"	"Other"
1206	"GVMAG-M-3300000115-12"	"GVMAG"	"SC9"	"MGVL57"	34.89	322198	90	11765	37593	29	"Marine"	"high"	"low"	"high"	"Other"
1496	"GVMAG-M-3300000115-18"	"GVMAG"	"SC9"	"MGVL47"	30.62	271551	89	19752	54511	17	"Marine"	"medium"	"low"	"medium"	"Other"
1698	"GVMAG-M-3300000115-19"	"GVMAG"	"SC10"	"MGVL63"	23.33	236263	86	54540	78603	9	"Marine"	"medium"	"low"	"medium"	"Other"
1263	"GVMAG-M-3300000115-2"	"GVMAG"	"SC9"	"MGVL40"	34.58	311449	91	32919	58414	13	"Marine"	"high"	"low"	"high"	"Other"
1934	"GVMAG-M-3300000115-3"	"GVMAG"	"SC9"	"MGVL57"	32.48	201317	88	9103	16469	24	"Marine"	"medium"	"medium"	"medium"	"Other"
1562	"GVMAG-M-3300000115-5"	"GVMAG"	"SC10"	"MGVL68"	30.01	261168	88	12199	42287	22	"Marine"	"medium"	"low"	"medium"	"Other"
1274	"GVMAG-M-3300000115-9"	"GVMAG"	"SC9"	"MGVL38"	31.16	309469	90	9246	23203	35	"Marine"	"medium"	"low"	"medium"	"Other"
1159	"GVMAG-M-3300000116-5"	"GVMAG"	"SC10"	"MGVL67"	25	329786	89	11014	18672	35	"Marine"	"high"	"medium"	"medium"	"Other"
1337	"GVMAG-M-3300000117-10"	"GVMAG"	"SC10"	"MGVL62"	25.53	298498	92	49182	68759	8	"Marine"	"high"	"low"	"high"	"Other"
2150	"GVMAG-M-3300000128-11"	"GVMAG"	"SC9"	"MGVL42"	32.04	162744	92	14901	26779	13	"Marine"	"medium"	"low"	"medium"	"Other"
1581	"GVMAG-M-3300000517-4"	"GVMAG"	"SC9"	"MGVL42"	26.36	256612	89	17097	27260	20	"Marine"	"high"	"low"	"medium"	"Other"
1836	"GVMAG-M-3300000574-23"	"GVMAG"	"SC1"	"Asfarviruses"	27.81	214432	92	45232	86293	8	"Freshwater"	"medium"	"low"	"medium"	"Other"
664	"GVMAG-M-3300000736-2"	"GVMAG"	"SC9"	"YLMV"	28.06	426361	91	149166	164237	6	"Freshwater"	"high"	"medium"	"medium"	"Other"
624	"GVMAG-M-3300001346-3"	"GVMAG"	"SC10"	"MGVL64"	20.65	433896	88	9773	25750	45	"Marine"	"high"	"low"	"medium"	"Other"
227	"GVMAG-M-3300001347-22"	"GVMAG"	"SC10"	"MGVL68"	21.53	579763	87	11963	29159	53	"Marine"	"high"	"low"	"low"	"Other"
1251	"GVMAG-M-3300001348-11"	"GVMAG"	"SC9"	"MGVL57"	30.4	314180	91	12786	31833	26	"Marine"	"high"	"low"	"high"	"Other"
110	"GVMAG-M-3300001348-16"	"GVMAG"	"SC6"	"Faunusviruses"	24.77	839011	90	22566	59827	47	"Marine"	"high"	"high"	"low"	"Other"
1960	"GVMAG-M-3300001348-19"	"GVMAG"	"SC10"	"MGVL65"	24.36	198374	94	11399	20091	18	"Marine"	"medium"	"low"	"medium"	"Other"
1893	"GVMAG-M-3300001348-24"	"GVMAG"	"SC9"	"MGVL43"	30.35	207021	87	11428	22811	21	"Marine"	"medium"	"low"	"medium"	"Other"
375	"GVMAG-M-3300001348-25"	"GVMAG"	"SC9"	"MGVL38"	29.08	501997	90	61338	78085	12	"Marine"	"high"	"low"	"high"	"Other"
1994	"GVMAG-M-3300001348-34"	"GVMAG"	"SC3"	"Raphidoviruses"	24.76	192596	88	16690	45755	11	"Marine"	"high"	"low"	"high"	"Other"
1027	"GVMAG-M-3300001348-35"	"GVMAG"	"SC9"	"MGVL57"	31.64	353164	90	23855	41861	20	"Marine"	"high"	"low"	"high"	"Other"
977	"GVMAG-M-3300001348-40"	"GVMAG"	"SC10"	"MGVL65"	25.04	363357	91	10218	20927	37	"Marine"	"high"	"high"	"low"	"Other"
453	"GVMAG-M-3300001348-41"	"GVMAG"	"SC10"	"MGVL65"	25.42	476406	90	22906	51821	27	"Marine"	"high"	"medium"	"medium"	"Other"
122	"GVMAG-M-3300001348-7"	"GVMAG"	"SC10"	"MGVL67"	24.19	804436	91	49631	104006	22	"Marine"	"high"	"low"	"high"	"Other"
125	"GVMAG-M-3300001349-29"	"GVMAG"	"SC6"	"Cafeteriaviruses"	25.41	798310	89	21002	48877	50	"Marine"	"high"	"low"	"medium"	"Other"
608	"GVMAG-M-3300001349-30"	"GVMAG"	"SC10"	"MGVL65"	23.62	438289	90	9538	23381	49	"Marine"	"high"	"high"	"low"	"Other"
148	"GVMAG-M-3300001351-8"	"GVMAG"	"SC10"	"MGVL68"	27.24	708486	88	107328	155541	13	"Marine"	"high"	"low"	"high"	"Other"
834	"GVMAG-M-3300001352-24"	"GVMAG"	"SC10"	"MGVL67"	24.7	393757	92	12241	27203	34	"Marine"	"high"	"low"	"medium"	"Other"
84	"GVMAG-M-3300001352-25"	"GVMAG"	"SC6"	"Cafeteriaviruses"	23.4	987092	90	30831	74137	44	"Marine"	"high"	"low"	"medium"	"Other"
820	"GVMAG-M-3300001352-32"	"GVMAG"	"SC10"	"MGVL63"	21.61	396372	81	8994	20987	46	"Marine"	"high"	"low"	"medium"	"Other"
2018	"GVMAG-M-3300001352-44"	"GVMAG"	"SC10"	"MGVL65"	22.85	188796	90	10239	15780	20	"Marine"	"high"	"low"	"medium"	"Other"
718	"GVMAG-M-3300001352-47"	"GVMAG"	"SC10"	"MGVL58"	26.71	416686	92	34392	70685	17	"Marine"	"high"	"medium"	"medium"	"Other"
1457	"GVMAG-M-3300001460-12"	"GVMAG"	"SC3"	"Prasinoviruses"	41.79	279157	91	15294	45731	20	"Marine"	"high"	"medium"	"medium"	"Other"
437	"GVMAG-M-3300001589-11"	"GVMAG"	"SC10"	"MGVL67"	24.89	481868	89	10351	23196	46	"Marine"	"high"	"low"	"medium"	"Other"
1472	"GVMAG-M-3300001589-6"	"GVMAG"	"SC9"	"MGVL42"	28.52	275741	92	23094	53439	14	"Marine"	"medium"	"low"	"medium"	"Other"
155	"GVMAG-M-3300001589-9"	"GVMAG"	"SC10"	"MGVL67"	24.23	691650	88	8737	29159	84	"Marine"	"high"	"medium"	"low"	"Other"
1860	"GVMAG-M-3300001718-3"	"GVMAG"	"SC3"	"Prasinoviruses"	40.32	211272	92	7915	17845	27	"Marine"	"high"	"medium"	"medium"	"Other"
1637	"GVMAG-M-3300002092-9"	"GVMAG"	"SC6"	"MGVL31"	26.18	245535	88	10610	17386	24	"Freshwater"	"medium"	"low"	"medium"	"Other"
1475	"GVMAG-M-3300002154-3"	"GVMAG"	"SC10"	"Tetraselmisviruses"	32.1	274891	91	26686	50590	12	"Marine"	"medium"	"low"	"medium"	"Other"
1468	"GVMAG-M-3300002186-2"	"GVMAG"	"SC10"	"MGVL62"	21.28	277235	89	8933	15181	34	"Marine"	"medium"	"low"	"medium"	"Other"
609	"GVMAG-M-3300002242-2"	"GVMAG"	"SC9"	"MGVL57"	33.26	437923	89	66286	89640	14	"Marine"	"high"	"medium"	"medium"	"Other"
1727	"GVMAG-M-3300002367-2"	"GVMAG"	"SC2"	"Iridoviruses"	31.13	231535	89	10232	18317	24	"Freshwater"	"high"	"low"	"medium"	"Other"
1456	"GVMAG-M-3300002404-2"	"GVMAG"	"SC10"	"MGVL61"	21.11	279279	87	23475	36697	14	"Freshwater"	"medium"	"medium"	"medium"	"Other"
1920	"GVMAG-M-3300002447-3"	"GVMAG"	"SC9"	"YLMV"	39.56	203524	84	13066	38936	18	"Freshwater"	"medium"	"low"	"medium"	"Other"
1152	"GVMAG-M-3300002447-5"	"GVMAG"	"SC9"	"MGVL57"	39.25	330996	82	36970	58548	16	"Freshwater"	"high"	"low"	"high"	"Other"
1618	"GVMAG-M-3300003388-6"	"GVMAG"	"SC9"	"Prymnesioviruses"	26.28	248862	84	7856	16078	32	"Freshwater"	"medium"	"medium"	"medium"	"Other"
594	"GVMAG-M-3300003395-8"	"GVMAG"	"SC9"	"YLMV"	26.01	443331	88	20630	37258	30	"Freshwater"	"high"	"low"	"high"	"Other"
785	"GVMAG-M-3300003404-4"	"GVMAG"	"SC9"	"MGVL55"	37.98	403301	90	26592	54692	21	"Freshwater"	"high"	"low"	"high"	"Other"
1174	"GVMAG-M-3300003410-18"	"GVMAG"	"SC10"	"MGVL60"	24.24	327905	92	16306	22734	27	"Marine"	"high"	"low"	"medium"	"Other"
923	"GVMAG-M-3300003413-11"	"GVMAG"	"SC9"	"MGVL44"	34.05	375058	86	24200	46933	22	"Freshwater"	"high"	"low"	"high"	"Other"
1437	"GVMAG-M-3300004054-2"	"GVMAG"	"SC9"	"YLMV"	26.65	281909	87	9067	26609	32	"Freshwater"	"medium"	"medium"	"medium"	"Other"
1899	"GVMAG-M-3300004097-33"	"GVMAG"	"SC9"	"MGVL57"	27.08	206139	88	10768	35510	19	"Marine"	"high"	"low"	"high"	"Other"
1035	"GVMAG-M-3300004128-2"	"GVMAG"	"SC9"	"YLMV"	24.17	351446	88	8225	18537	42	"Freshwater"	"medium"	"low"	"medium"	"Other"
336	"GVMAG-M-3300004128-5"	"GVMAG"	"SC9"	"YLMV"	26.54	519821	90	8235	21833	64	"Freshwater"	"high"	"high"	"low"	"Other"
1068	"GVMAG-M-3300004240-13"	"GVMAG"	"SC10"	"Tetraselmisviruses"	19.96	345348	84	9686	36487	37	"Freshwater"	"medium"	"low"	"medium"	"Other"
461	"GVMAG-M-3300004240-17"	"GVMAG"	"SC9"	"MGVL51"	27.68	474452	91	22830	55285	29	"Freshwater"	"high"	"medium"	"medium"	"Other"
1221	"GVMAG-M-3300004240-8"	"GVMAG"	"SC9"	"YLMV"	26.72	319789	85	7584	22605	42	"Freshwater"	"medium"	"low"	"medium"	"Other"
276	"GVMAG-M-3300004273-3"	"GVMAG"	"SC6"	"Klosneuviruses"	28.05	547251	85	10085	20363	60	"Marine"	"high"	"low"	"low"	"Other"
514	"GVMAG-M-3300004277-10"	"GVMAG"	"SC6"	"Klosneuviruses"	18.32	461013	89	10253	29950	47	"Marine"	"high"	"low"	"medium"	"Other"
1225	"GVMAG-M-3300004806-1"	"GVMAG"	"SC8"	"MGVL35"	40.63	319049	93	37780	76602	11	"Freshwater"	"high"	"low"	"high"	"Other"
1490	"GVMAG-M-3300004806-22"	"GVMAG"	"SC8"	"MGVL36"	28.53	272186	91	8547	21150	30	"Freshwater"	"high"	"medium"	"medium"	"Other"
610	"GVMAG-M-3300004806-7"	"GVMAG"	"SC8"	"MGVL36"	29.55	437665	93	39516	95136	13	"Freshwater"	"high"	"low"	"high"	"Other"
671	"GVMAG-M-3300004807-10"	"GVMAG"	"SC10"	"MGVL63"	33.42	425169	88	10200	39728	42	"Freshwater"	"medium"	"medium"	"medium"	"Other"
220	"GVMAG-M-3300005286-3"	"GVMAG"	"SC6"	"Klosneuviruses"	22.69	587700	75	7854	15350	75	"Composting"	"medium"	"low"	"low"	"Other"
1883	"GVMAG-M-3300005517-13"	"GVMAG"	"SC9"	"YLMV"	28.44	208013	86	7008	12939	30	"Freshwater"	"medium"	"low"	"low"	"Other"
470	"GVMAG-M-3300005517-19"	"GVMAG"	"SC9"	"MGVL52"	33.77	471406	90	14917	31160	39	"Freshwater"	"high"	"low"	"medium"	"Other"
2063	"GVMAG-M-3300005517-3"	"GVMAG"	"SC10"	"Tetraselmisviruses"	34.94	180938	89	10332	19413	19	"Freshwater"	"medium"	"low"	"medium"	"Other"
1840	"GVMAG-M-3300005523-3"	"GVMAG"	"SC3"	"Prasinoviruses"	33.76	213807	93	14840	25824	18	"Marine"	"high"	"medium"	"medium"	"Other"
32	"GVMAG-M-3300005528-18"	"GVMAG"	"SC10"	"MGVL63"	27.32	1271400	87	8984	29753	144	"Freshwater"	"high"	"high"	"low"	"Other"
1491	"GVMAG-M-3300005528-9"	"GVMAG"	"SC9"	"MGVL54"	35.9	272140	87	8883	19202	32	"Freshwater"	"high"	"low"	"medium"	"Other"
1547	"GVMAG-M-3300005538-5"	"GVMAG"	"SC2"	"MGVL17"	25.57	262988	82	31222	65750	10	"Soil"	"high"	"low"	"high"	"Other"
1498	"GVMAG-M-3300005583-9"	"GVMAG"	"SC9"	"MGVL52"	32.66	271238	88	8316	19518	33	"Freshwater"	"high"	"low"	"medium"	"Other"
1134	"GVMAG-M-3300005589-24"	"GVMAG"	"SC2"	"Iridoviruses"	40.97	334564	94	75873	125924	5	"Marine"	"high"	"low"	"high"	"Other"
833	"GVMAG-M-3300005613-11"	"GVMAG"	"SC9"	"Chrysomulinaviruses"	26	393987	92	95051	117042	6	"Non-marine Saline and Alkaline"	"high"	"low"	"high"	"Other"
422	"GVMAG-M-3300005613-13"	"GVMAG"	"SC9"	"Chrysomulinaviruses"	24.73	487267	90	13113	34434	39	"Non-marine Saline and Alkaline"	"high"	"high"	"low"	"Other"
587	"GVMAG-M-3300005613-15"	"GVMAG"	"SC9"	"Prymnesioviruses"	21.67	444581	92	332516	332516	5	"Non-marine Saline and Alkaline"	"high"	"low"	"high"	"Other"
1548	"GVMAG-M-3300005613-23"	"GVMAG"	"SC2"	"MGVL17"	31.39	262651	87	195829	195829	4	"Non-marine Saline and Alkaline"	"high"	"low"	"high"	"Other"
190	"GVMAG-M-3300005613-25"	"GVMAG"	"SC10"	"MGVL58"	30.82	629505	87	12831	32597	57	"Non-marine Saline and Alkaline"	"high"	"medium"	"low"	"Other"
970	"GVMAG-M-3300005613-26"	"GVMAG"	"SC9"	"Prymnesioviruses"	21.72	365345	92	275989	275989	2	"Non-marine Saline and Alkaline"	"high"	"low"	"high"	"Other"
86	"GVMAG-M-3300005613-29"	"GVMAG"	"SC10"	"MGVL58"	18.99	972199	89	27075	63924	53	"Non-marine Saline and Alkaline"	"high"	"medium"	"low"	"Other"
1137	"GVMAG-M-3300005613-33"	"GVMAG"	"SC10"	"MGVL58"	27.73	333887	92	60609	132697	7	"Non-marine Saline and Alkaline"	"medium"	"high"	"low"	"Other"
121	"GVMAG-M-3300005613-38"	"GVMAG"	"SC10"	"MGVL58"	24.19	805268	87	36767	128134	29	"Non-marine Saline and Alkaline"	"high"	"medium"	"medium"	"Other"
82	"GVMAG-M-3300005613-41"	"GVMAG"	"SC10"	"MGVL58"	22.18	1008215	88	36443	63778	50	"Non-marine Saline and Alkaline"	"high"	"medium"	"medium"	"Other"
